43520#0:0.000084,1:0.000000,2:0.000084,3:0.022895,4:0.000000,5:0.000000,6:0.000000,7:0.020722,8:0.000000,9:0.000000,10:0.000084,11:0.000000,12:0.000000,13:0.823748,14:0.000000,15:0.000000,16:0.000084,17:0.000000,18:0.000084,19:0.000000,20:0.000000,21:0.007250,22:0.000084,23:0.000084,24:0.000000,25:0.000000,26:0.000000,27:0.000000,28:0.000084,29:0.034637
2562#0:0.000077,1:0.000077,2:0.000000,3:0.000647,4:0.000000,5:0.726025,6:0.000000,7:0.012719,8:0.019261,9:0.072014,10:0.017422,11:0.000000,12:0.000000,13:0.000000,14:0.000000,15:0.057623,16:0.000000,17:0.015439,18:0.000000,19:0.000000,20:0.000068,21:0.000077,22:0.000000,23:0.000077,24:0.000077,25:0.000192,26:0.000021,27:0.000000,28:0.000000,29:0.000000
72196#0:0.000000,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.000000,6:0.096783,7:0.889932,8:0.024176,9:0.025714,10:0.000000,11:0.000000,12:0.072627,13:0.000000,14:0.000000,15:0.000089,16:0.000000,17:0.000089,18:0.000000,19:0.000000,20:0.089444,21:0.000000,22:0.045296,23:0.000000,24:0.000000,25:0.000089,26:0.000089,27:0.000000,28:0.000089,29:0.000089
28166#0:0.000000,1:0.041979,2:0.000000,3:0.111134,4:0.000000,5:0.000000,6:0.000000,7:0.027434,8:0.000000,9:0.063178,10:0.000000,11:0.000000,12:0.000000,13:0.017800,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.184982,21:0.000000,22:0.041433,23:0.000000,24:0.000174,25:0.072350,26:0.000000,27:0.000000,28:0.000000,29:0.000000
81927#0:0.000000,1:0.000073,2:0.002932,3:0.000000,4:0.006142,5:0.000073,6:0.000073,7:0.000000,8:0.000000,9:0.178235,10:0.000000,11:0.000000,12:0.000000,13:0.000000,14:0.000000,15:0.181457,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.014613,21:0.000000,22:0.000000,23:0.000000,24:0.000000,25:0.000000,26:0.000000,27:0.064528,28:0.000073,29:0.000000
36872#0:0.000000,1:0.000346,2:0.000000,3:0.020632,4:0.000171,5:0.000000,6:0.000000,7:0.249773,8:0.000000,9:0.105490,10:0.000000,11:0.000000,12:0.000000,13:0.000000,14:0.000000,15:0.016369,16:0.000000,17:0.000083,18:0.000212,19:0.001267,20:0.325456,21:0.000000,22:0.028344,23:0.000000,24:0.000000,25:0.015353,26:0.000000,27:0.000000,28:0.063282,29:0.000000
80298#0:0.000000,1:0.000114,2:0.000000,3:0.000000,4:0.000000,5:0.000000,6:0.000000,7:0.096212,8:0.000000,9:0.108713,10:0.000000,11:0.000114,12:0.000000,13:0.000000,14:0.000000,15:0.230992,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.052956,21:0.000000,22:0.000000,23:0.000258,24:0.000114,25:0.000000,26:0.027245,27:0.086061,28:0.000114,29:0.000000
72203#0:0.000000,1:0.000000,2:0.053362,3:0.000090,4:0.000000,5:0.000223,6:0.000000,7:0.000000,8:0.000000,9:0.064072,10:0.052225,11:0.000000,12:0.000000,13:0.067296,14:0.000092,15:0.000000,16:0.000090,17:0.000000,18:0.070654,19:0.000000,20:0.296049,21:0.000000,22:0.000000,23:0.000090,24:0.000000,25:0.000237,26:0.000000,27:0.000090,28:0.000090,29:0.000413
86540#0:0.000000,1:0.449238,2:0.000000,3:0.000000,4:0.000087,5:0.000087,6:0.000087,7:0.000087,8:0.000000,9:0.045540,10:0.000000,11:0.000000,12:0.000087,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.001921,18:0.000000,19:0.035987,20:0.177103,21:0.000000,22:0.000000,23:0.000000,24:0.000000,25:0.063570,26:0.000000,27:0.000000,28:0.000000,29:0.000000
121358#0:0.000000,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.000000,6:0.000000,7:0.000000,8:0.000000,9:0.090022,10:0.026893,11:0.000077,12:0.000000,13:0.000000,14:0.000000,15:0.184901,16:0.000000,17:0.000000,18:0.000077,19:0.000000,20:0.068481,21:0.000000,22:0.082689,23:0.000000,24:0.000156,25:0.000000,26:0.000000,27:0.000000,28:0.000000,29:0.000077
31759#0:0.000096,1:0.000096,2:0.000000,3:0.000000,4:0.137983,5:0.000000,6:0.223092,7:0.000000,8:0.000000,9:0.032841,10:0.000000,11:0.000096,12:0.000000,13:0.000096,14:0.000000,15:0.000000,16:0.000096,17:0.000096,18:0.000096,19:0.000096,20:0.293074,21:0.000000,22:0.000235,23:0.000000,24:0.000000,25:0.000096,26:0.000096,27:0.000000,28:0.000096,29:0.000000
