9080832#0:0.040499,1:0.000000,2:0.000122,3:0.000122,4:0.049093,5:0.000122,6:0.187524,7:0.000000,8:0.294641,9:0.000122,10:0.122150,11:0.000029,12:0.000000,13:0.000000,14:0.000122,15:0.000000,16:0.000000,17:0.019865,18:0.000000,19:0.000122,20:0.068561,21:0.000285,22:0.000122,23:0.000000,24:0.000122,25:0.000000,26:0.013754,27:0.036319,28:0.000122,29:0.000122
3610113#0:0.043312,1:0.000144,2:0.000000,3:0.000000,4:0.000000,5:0.000000,6:0.000144,7:0.000000,8:0.000144,9:0.000144,10:0.112719,11:0.000144,12:0.000000,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.000000,19:0.150261,20:0.018937,21:0.000000,22:0.034347,23:0.000000,24:0.000000,25:0.121141,26:0.000000,27:0.000144,28:0.000144,29:0.112205
51187716#0:0.081890,1:0.000000,2:0.000112,3:0.000112,4:0.000000,5:0.000000,6:0.000000,7:0.000000,8:0.123977,9:0.000112,10:0.042283,11:0.014307,12:0.000112,13:0.000112,14:0.000112,15:0.000000,16:0.000112,17:0.000112,18:0.000112,19:0.551336,20:0.000000,21:0.000112,22:0.000068,23:0.000276,24:0.000112,25:0.000112,26:0.000112,27:0.000000,28:0.000112,29:0.084780
31089669#0:0.058086,1:0.029664,2:0.000000,3:0.000000,4:0.000000,5:0.029480,6:0.000000,7:0.000000,8:0.000000,9:0.059408,10:0.090561,11:0.058685,12:0.000000,13:0.105031,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.000439,19:0.000439,20:0.000439,21:0.000000,22:0.000000,23:0.000000,24:0.000000,25:0.000000,26:0.000000,27:0.000439,28:0.000000,29:0.000000
8539147#0:0.000183,1:0.000183,2:0.051508,3:0.757721,4:0.023071,5:0.000000,6:0.000000,7:0.000000,8:0.000183,9:0.000183,10:0.000000,11:0.000000,12:0.000183,13:0.000183,14:0.000183,15:0.026069,16:0.000183,17:0.000183,18:0.029969,19:0.000183,20:0.000000,21:0.000000,22:0.000000,23:0.000415,24:0.000183,25:0.000183,26:0.000000,27:0.000183,28:0.000183,29:0.000000
6422038#0:0.000000,1:0.000182,2:0.000182,3:0.716765,4:0.000000,5:0.000182,6:0.000000,7:0.003965,8:0.000182,9:0.000000,10:0.000000,11:0.000182,12:0.000000,13:0.000000,14:0.000000,15:0.000182,16:0.000182,17:0.000182,18:0.000000,19:0.000000,20:0.000000,21:0.000000,22:0.000000,23:0.000000,24:0.000182,25:0.009501,26:0.000000,27:0.000182,28:0.000182,29:0.000000
54216216#0:0.000000,1:0.000206,2:0.000206,3:0.124544,4:0.000206,5:0.000206,6:0.000206,7:0.000000,8:0.000206,9:0.102843,10:0.000000,11:0.000000,12:0.000206,13:0.041532,14:0.383987,15:0.000206,16:0.077883,17:0.000000,18:0.612106,19:0.000000,20:0.000206,21:0.000206,22:0.000000,23:0.000206,24:0.000206,25:0.000206,26:0.129519,27:0.000206,28:0.000000,29:0.000206
54028463#0:0.000037,1:0.000000,2:0.073028,3:0.000000,4:0.000000,5:0.000071,6:0.000000,7:0.000000,8:0.000071,9:0.043683,10:0.137082,11:0.105053,12:0.000000,13:0.309299,14:0.000000,15:0.014586,16:0.000071,17:0.000000,18:0.009695,19:0.000071,20:0.000071,21:0.000000,22:0.014186,23:0.000071,24:0.000000,25:0.077328,26:0.000071,27:0.000000,28:0.008599,29:0.000000
32648221#0:0.054707,1:0.000000,2:0.000000,3:0.000143,4:-0.025743,5:0.000000,6:0.000000,7:0.000000,8:0.000000,9:0.000000,10:0.000000,11:0.000000,12:0.000143,13:0.000000,14:0.249859,15:0.000143,16:0.000143,17:0.000000,18:0.000000,19:0.404219,20:0.000143,21:0.000000,22:0.017315,23:0.000000,24:0.000000,25:0.000045,26:0.000000,27:0.020236,28:0.000000,29:0.000000
46859808#0:0.000216,1:0.000216,2:0.000216,3:0.311905,4:0.000216,5:0.000216,6:0.000216,7:0.000216,8:0.000216,9:0.000216,10:0.000216,11:0.000216,12:0.000216,13:0.000216,14:0.000216,15:0.000216,16:0.000216,17:0.000216,18:0.000216,19:0.000216,20:0.305411,21:0.000216,22:0.337879,23:0.000216,24:0.000216,25:0.000216,26:0.000216,27:0.000216,28:0.000216,29:0.039177
38738979#0:0.057253,1:0.000178,2:0.000000,3:0.000000,4:0.000178,5:0.000000,6:0.000000,7:0.000000,8:0.000000,9:0.000422,10:0.661632,11:0.017832,12:0.181511,13:0.000000,14:0.000178,15:0.000000,16:0.000000,17:0.063662,18:0.000000,19:0.008185,20:0.000000,21:0.000178,22:0.071217,23:0.000000,24:0.000000,25:0.027862,26:0.000000,27:0.000178,28:0.000178,29:0.000000
