3948551#0:0.000000,1:0.000000,2:0.062366,3:0.027456,4:0.016513,5:0.016880,6:0.014848,7:0.000000,8:0.107410,9:0.000000,10:0.000000,11:0.006804,12:0.000000,13:0.000000,14:0.017478,15:0.019354,16:0.177371,17:0.025720,18:0.012707,19:0.004853,20:0.307370,21:0.016603,22:0.000000,23:0.000000,24:0.005615,25:0.000000,26:0.024018,27:0.014605,28:0.015337,29:0.071857
9966601#0:0.000000,1:0.073934,2:0.023894,3:0.016544,4:0.000107,5:0.000000,6:0.070337,7:0.000000,8:0.000107,9:0.000000,10:0.125789,11:0.000000,12:0.000107,13:0.000107,14:0.000000,15:0.017862,16:0.083167,17:0.000000,18:0.000000,19:0.000000,20:0.032914,21:0.000000,22:0.012304,23:0.079795,24:0.000107,25:0.000107,26:0.000107,27:0.303492,28:-0.000475,29:0.023140
10045451#0:0.000000,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.139074,6:0.000156,7:0.000000,8:0.004172,9:0.000156,10:0.000000,11:0.000000,12:0.000000,13:0.000000,14:0.000185,15:0.237408,16:0.000156,17:0.000000,18:0.000499,19:0.565385,20:0.000156,21:0.000185,22:0.000156,23:0.000156,24:0.000433,25:0.000156,26:0.000156,27:0.000000,28:0.000000,29:0.000000
47461901#0:0.000121,1:0.000121,2:0.000121,3:0.000121,4:0.000121,5:0.000000,6:0.000121,7:0.000121,8:0.018414,9:0.000121,10:0.000121,11:0.000121,12:0.854386,13:0.000000,14:0.000000,15:0.000121,16:0.000121,17:0.000000,18:0.000121,19:0.000000,20:0.022911,21:0.024549,22:0.000000,23:0.000121,24:0.000121,25:0.000121,26:0.000000,27:0.000121,28:0.000121,29:0.000121
50979501#0:0.114368,1:0.000000,2:0.000000,3:0.000157,4:0.000157,5:0.000000,6:0.000100,7:0.000157,8:0.000054,9:0.000000,10:0.000369,11:0.012715,12:0.000000,13:0.000000,14:0.000000,15:-0.006051,16:0.480922,17:0.000747,18:0.000157,19:0.128036,20:-0.000203,21:0.000223,22:-0.000203,23:0.000000,24:0.020406,25:0.022456,26:0.000000,27:0.001312,28:0.000000,29:0.055116
50209851#0:0.000000,1:0.235099,2:0.000056,3:0.000000,4:0.022041,5:0.000000,6:0.043132,7:0.019244,8:0.031481,9:0.000000,10:0.000701,11:0.000251,12:0.000348,13:0.000000,14:-0.000983,15:0.000000,16:0.002813,17:0.020165,18:0.000000,19:0.000000,20:0.009236,21:0.000049,22:0.000000,23:0.076259,24:0.000048,25:0.000000,26:0.002666,27:0.000000,28:0.000039,29:0.024111
9569301#0:0.024532,1:0.000000,2:0.000076,3:0.000000,4:0.000000,5:0.000000,6:0.000000,7:0.000000,8:0.266953,9:0.000000,10:0.032344,11:0.000000,12:0.143450,13:0.027011,14:0.012799,15:0.000000,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.024263,21:0.141345,22:0.000000,23:0.026114,24:0.000000,25:0.047051,26:0.000000,27:0.000000,28:0.000000,29:0.000081
19533401#0:0.000000,1:0.000146,2:0.000000,3:0.000146,4:0.000000,5:0.000000,6:0.000146,7:0.010659,8:0.000265,9:0.000806,10:0.000000,11:0.128925,12:0.180213,13:0.000146,14:0.055749,15:0.000000,16:0.000000,17:0.048746,18:0.000000,19:0.000000,20:0.000000,21:0.458407,22:0.000146,23:0.000000,24:0.000146,25:0.000146,26:0.000000,27:0.000000,28:0.000000,29:0.000000
54832151#0:0.012361,1:0.000000,2:0.000050,3:0.027178,4:0.076054,5:0.000000,6:0.205956,7:0.235952,8:0.001278,9:0.000143,10:0.042495,11:0.014240,12:0.000143,13:0.044952,14:0.000143,15:0.027100,16:0.000000,17:0.000000,18:0.000143,19:0.000143,20:0.065328,21:0.000143,22:0.079811,23:0.000143,24:0.000143,25:0.012361,26:0.017620,27:0.152395,28:0.000000,29:0.032556
23873051#0:0.000000,1:0.000333,2:0.000000,3:0.000000,4:0.026700,5:0.000000,6:0.008619,7:0.000000,8:0.065480,9:0.000000,10:0.008424,11:0.000219,12:-0.008564,13:0.000000,14:0.000000,15:0.485292,16:0.000000,17:0.000402,18:0.000000,19:0.000280,20:0.038429,21:0.000139,22:0.000000,23:0.000000,24:0.000219,25:0.032820,26:0.000000,27:0.080462,28:0.000000,29:0.053406
49950751#0:0.000000,1:0.000125,2:0.000000,3:0.000000,4:0.000000,5:0.000000,6:0.015260,7:0.000000,8:0.280399,9:0.000125,10:0.016629,11:0.029149,12:0.000000,13:0.029336,14:0.000000,15:0.006173,16:0.119678,17:0.000000,18:0.337863,19:0.000000,20:0.000438,21:0.008347,22:0.000674,23:0.000000,24:0.000000,25:0.000000,26:0.009555,27:0.000000,28:0.000000,29:0.028380
16858801#0:0.036778,1:0.000000,2:0.023924,3:0.050815,4:0.021249,5:0.008584,6:0.000000,7:0.000000,8:0.018337,9:0.016396,10:0.021636,11:0.035184,12:0.000204,13:0.027279,14:0.019809,15:0.000000,16:0.000000,17:0.000000,18:0.067727,19:0.454096,20:0.000000,21:0.014735,22:0.009789,23:0.099775,24:0.000000,25:0.000000,26:0.000000,27:0.014313,28:0.004996,29:0.041895
56286251#0:0.010425,1:0.000000,2:0.001235,3:0.008393,4:0.000000,5:0.009277,6:0.019877,7:0.000437,8:0.000185,9:0.013320,10:0.174084,11:0.000821,12:0.000112,13:0.002560,14:0.000188,15:0.000585,16:0.000000,17:0.001086,18:0.003035,19:0.000112,20:0.062689,21:0.000112,22:0.012380,23:0.000000,24:0.000112,25:0.000000,26:0.001361,27:0.011316,28:0.000999,29:0.113211
12363101#0:0.000000,1:0.031970,2:0.000000,3:0.016297,4:0.000000,5:0.000000,6:0.000140,7:0.000000,8:0.222084,9:0.000054,10:0.011089,11:0.000000,12:0.000000,13:0.029046,14:0.000000,15:0.000000,16:0.084994,17:0.091307,18:0.000000,19:0.000000,20:0.140086,21:0.185776,22:0.000000,23:0.018210,24:0.000140,25:0.056848,26:0.000140,27:0.000000,28:0.000227,29:0.000000
